Name,Meaning,Gender,Origin,Lucky #,Religion,Short Name,Name Length
Azan,"Call To Prayer, Power, Strength",Boy,Arabic,5,Muslim,YES,4 Letters and 1 Word
Azhar,"Flowers, Blossoms, THE MOST SHINING LUMINOUS",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Azaan,"Call To Prayer, Power, Strength",Boy,Urdu,4,Muslim,YES,5 Letters and 1 Word
Choudhary,"Ringleader, reliable man in the village",Boy,Urdu,7,Muslim,NO,9 Letters and 1 Word
Casper,King of the treasure,Boy,Irani,2,Muslim,YES,6 Letters and 1 Word
Chishti,Famous Saint Whose Dargah Is At Ajmer,Boy,Persian,2,Muslim,NO,7 Letters and 1 Word
Arif,"Knowledgeable, Learned, Expert, Authority ",Boy,Arabic,9,Muslim,YES,4 Letters and 1 Word
Can,"One who is full of spirit, life and heart",Boy,Turkish,9,Muslim,YES,3 Letters and 1 Word
Chacha,Eagle,Boy,Persian,7,Muslim,YES,6 Letters and 1 Word
Chahal,Happy mood,Boy,Urdu,2,Muslim,YES,6 Letters and 1 Word
Cid,"Lord,",Boy,Arabic,1,Muslim,YES,3 Letters and 1 Word
Cyrus,Far sighted,Boy,Irani,6,Muslim,YES,5 Letters and 1 Word
Chand,Moon,Boy,Urdu,4,Muslim,YES,5 Letters and 1 Word
Caleb,In American meaning is : Faithful dog,Boy,Arabic,6,Muslim,YES,5 Letters and 1 Word
Cal,"In American meaning is : Short Form Of Names Beginning With Cal ,See also in English, Hebrew, Latin, British for meaning,",Boy,Arabic,4,Muslim,YES,3 Letters and 1 Word
Chan,Shining,Boy,Urdu,9,Muslim,YES,4 Letters and 1 Word
Chaman,"Phluary, garden",Boy,Persian,3,Muslim,YES,6 Letters and 1 Word
Chohan,A caste of Rajputs,Boy,Hindi,2,Muslim,YES,6 Letters and 1 Word
Charagh,"Lamp, Light",Boy,Urdu,8,Muslim,NO,7 Letters and 1 Word
Changez,N/A,Boy,Urdu,8,Muslim,NO,7 Letters and 1 Word
Chiragh,"Lamp, Light",Boy,Arabic,7,Muslim,NO,7 Letters and 1 Word
Cass,"He Who Guards The Treasure,",Boy,Persian,4,Muslim,YES,4 Letters and 1 Word
Chanan,God Was Compassionate,Boy,Russian,5,Muslim,YES,6 Letters and 1 Word
Chanda,Of The Moon,Boy,Hindi,4,Muslim,YES,6 Letters and 1 Word
Chisti,Religious Wisdom,Boy,Persian,2,Muslim,YES,6 Letters and 1 Word
Coman,Noble,Boy,Arabic,6,Muslim,YES,5 Letters and 1 Word
Chughtai,Changez Khan's son,Boy,Turkish,1,Muslim,NO,8 Letters and 1 Word
Cenk,The one who wins war,Boy,Turkish,2,Muslim,YES,4 Letters and 1 Word
Cale,"In American meaning is : Dog,",Boy,Arabic,4,Muslim,YES,4 Letters and 1 Word
Cadi,Luck,Boy,Arabic,3,Muslim,YES,4 Letters and 1 Word
Chambeli,Fragrant flowers,Boy,Urdu,6,Muslim,NO,8 Letters and 1 Word
Ciro,"Sun Or Throne,",Boy,Persian,8,Muslim,YES,4 Letters and 1 Word
Chabuk,"Agile, Clever",Boy,Persian,6,Muslim,YES,6 Letters and 1 Word
Daniyal,"Intelligent Man, A Famous Intellectual, Name Of Prophet",Boy,Persian,6,Muslim,NO,7 Letters and 1 Word
Danish,"Knowledge, Wisdom, Consciousness, Intellect",Boy,Persian,4,Muslim,YES,6 Letters and 1 Word
Irfan,"Thankfulness, Knowledge, Wisdom,",Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Imran,"Happiness, Prosperity, Great pleasure, Exalted Nation",Boy,Arabic,1,Muslim,YES,5 Letters and 1 Word
Chamali,Cupbearer To Fall,Boy,Persian,3,Muslim,NO,7 Letters and 1 Word
Deen,"Religion, Faith, Way Of Life,",Boy,Arabic,1,Muslim,YES,4 Letters and 1 Word
Darwish,Dervish,Boy,Urdu,7,Muslim,NO,7 Letters and 1 Word
Dawood,"Variant Of Daud: The Biblical David Is The English Language Equivalent, A Prophet's Name",Boy,Arabic,9,Muslim,YES,6 Letters and 1 Word
Dayyan,One Who Takes Revenge,Boy,Arabic,2,Muslim,YES,6 Letters and 1 Word
Daud,Beloved,Boy,Arabic,9,Muslim,YES,4 Letters and 1 Word
Demir,One who is made of Iron,Boy,Turkish,2,Muslim,YES,5 Letters and 1 Word
Diyan,Hakim,Boy,Urdu,2,Muslim,YES,5 Letters and 1 Word
Du'a,"Blessing, Prayer",Boy,Arabic,3,Muslim,YES,4 Letters and 1 Word
Dilbar,Lover,Boy,Urdu,3,Muslim,YES,6 Letters and 1 Word
Izhaan,"Submission, Obedience, Follower of God's Rules",Boy,Urdu,10,Muslim,YES,6 Letters and 1 Word
Irtaza,"Favorite, Chosen, Pleased, Satisfied",Boy,Arabic,7,Muslim,YES,6 Letters and 1 Word
Ismail,"Heard by God, Gift from God, A Meaningful smile",Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Islam,"Peace, Peaceful, Very Safe",Boy,Arabic,6,Muslim,YES,5 Letters and 1 Word
Ibrahim,"Intimate friend, Father Of Multitude, Prophet’s Name",Boy,Arabic,7,Muslim,NO,7 Letters and 1 Word
Insha,"Worship, writing, article",Boy,Urdu,1,Muslim,YES,5 Letters and 1 Word
Iqbal,"Prosperity, Wealth,",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Izaan,"Submission, Obedience, Acceptance",Boy,Urdu,2,Muslim,YES,5 Letters and 1 Word
Irshad,"Guidance, Direction",Boy,Arabic,2,Muslim,YES,6 Letters and 1 Word
Inayat,Concern Attention,Boy,Arabic,9,Muslim,YES,6 Letters and 1 Word
Ishrat,"Society, Familiar And Pleasant Talk, Happiness",Boy,Arabic,7,Muslim,YES,6 Letters and 1 Word
Deniz,Sea of happiness,Boy,Turkish,9,Muslim,YES,5 Letters and 1 Word
Iftikhar,"Honor, Glory,",Boy,Arabic,4,Muslim,NO,8 Letters and 1 Word
Dani,In hebrew meaning is : Variant of Daniel: God is my judge,Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Imtiyaz,In Muslim meaning is : Great King,Boy,Arabic,9,Muslim,NO,7 Letters and 1 Word
Dawer,"Ruler, Judge",Boy,Arabic,4,Muslim,YES,5 Letters and 1 Word
Dilawar,"Hearty, Daring,",Boy,Arabic,7,Muslim,NO,7 Letters and 1 Word
Didar,"Vision, sight,",Boy,Urdu,2,Muslim,YES,5 Letters and 1 Word
Daiyan,"A mighty ruler, judge",Boy,Urdu,4,Muslim,YES,6 Letters and 1 Word
Dalma,"Dark, Very Black",Boy,Arabic,4,Muslim,YES,5 Letters and 1 Word
Darek,Ruler of the people or Gifted ruler: From Theodoric,Boy,Persian,6,Muslim,YES,5 Letters and 1 Word
Dildar,"Charming, Beloved,",Boy,Persian,5,Muslim,YES,6 Letters and 1 Word
Daman,"One Who Tames, Subdues",Boy,Persian,6,Muslim,YES,5 Letters and 1 Word
Diar,"An expensive wood,",Boy,Urdu,7,Muslim,YES,4 Letters and 1 Word
Daris,"REGULAR, DINK ",Boy,Urdu,4,Muslim,YES,5 Letters and 1 Word
Darim,One Who Takes Short Steps,Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Dilshad,Joyful,Boy,Irani,6,Muslim,NO,7 Letters and 1 Word
Dul,Bucket,Boy,Persian,4,Muslim,YES,3 Letters and 1 Word
Imad,Pillar of the faith,Boy,Arabic,7,Muslim,YES,4 Letters and 1 Word
Ilyas,"The Biblical Elijah Is The English Language Equivalent,",Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Intekhab,"Elections, To Like",Boy,Arabic,1,Muslim,NO,8 Letters and 1 Word
Imtiaz,"Privilege, Distinction",Boy,Arabic,9,Muslim,YES,6 Letters and 1 Word
Idris,One Who Instruct,Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Ibadat,"Worship, Prayer, Devotion",Boy,Arabic,9,Muslim,YES,6 Letters and 1 Word
Ishtiaq,Longing Craving,Boy,Arabic,2,Muslim,NO,7 Letters and 1 Word
Iffat,"Variant Of 'Iffat: Virtue, Chastity",Boy,Arabic,1,Muslim,YES,5 Letters and 1 Word
Ishaq,Laughs,Boy,Hebrew,8,Muslim,YES,5 Letters and 1 Word
Israr,"Secrecy, Privacy,",Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Ikhlas,"Frankness, Sincerity,",Boy,Arabic,2,Muslim,YES,6 Letters and 1 Word
Ilahi,"My lord (for Allah), divine,",Boy,Urdu,3,Muslim,YES,5 Letters and 1 Word
Dakhil,"Foreigner, stranger",Boy,Urdu,5,Muslim,YES,6 Letters and 1 Word
Darvesh,"Holy man,",Boy,Urdu,9,Muslim,NO,7 Letters and 1 Word
Darien,A good wealthy protector,Boy,Irani,4,Muslim,YES,6 Letters and 1 Word
Ibn,Son,Boy,Arabic,8,Muslim,YES,3 Letters and 1 Word
Duldul,Iman Husain's Horse,Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Ikram,"Esteem, Veneration, Respect,",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Ijaz,"Miracle, Astonishment,",Boy,Arabic,1,Muslim,YES,4 Letters and 1 Word
Javed,"Alive, Living",Boy,Persian,6,Muslim,YES,5 Letters and 1 Word
Jibran,"To Create Good Change, To Give Recompense, To Help The Poor",Boy,Arabic,4,Muslim,YES,6 Letters and 1 Word
Jawad,"Openhanded, Generous",Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Junaid,"A Sufi Saint, Spiritual, Young Fighter, Warrior",Boy,Arabic,4,Muslim,YES,6 Letters and 1 Word
Jaza,"Revenge, reward, the fruit of righteousness",Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Jasim,Good Health,Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Jalal,"Loftiness, Sublimity, Glory, Also Grandeur, Glory, Glory Of The Faith,",Boy,Arabic,1,Muslim,YES,5 Letters and 1 Word
Jamal,"Beauty, Grace,",Boy,Arabic,2,Muslim,YES,5 Letters and 1 Word
Jafar,"River, Stream, Rivulet",Boy,Shia,2,Muslim,YES,5 Letters and 1 Word
Jazakallah,God Bless You,Boy,Arabic,5,Muslim,NO,10 Letters and 1 Word
Jabir,"Comforter,consolation,",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Jahangir,Ruler of the world,Boy,Irani,10,Muslim,NO,8 Letters and 1 Word
Jahanzeb,"Charming, Beautiful, Pleasant, Adorable",Boy,Urdu,6,Muslim,NO,8 Letters and 1 Word
Jaish,"Very excellent, fine",Boy,Arabic,7,Muslim,YES,5 Letters and 1 Word
Jahid,Hard worker,Boy,Arabic,4,Muslim,YES,5 Letters and 1 Word
Jabbar,"Mighty,",Boy,Arabic,8,Muslim,YES,6 Letters and 1 Word
Jericho,"City Of The Moon, In The Bible Jericho Was A Canaan City Destroyed When Its Walls Fell Down",Boy,Arabic,4,Muslim,NO,7 Letters and 1 Word
Jasper,In American meaning is : Treasurer,Boy,Arabic,4,Muslim,YES,6 Letters and 1 Word
Jalil,"Exalted, Honorable",Boy,Arabic,1,Muslim,YES,5 Letters and 1 Word
Jameel,Handsome,Boy,Arabic,2,Muslim,YES,6 Letters and 1 Word
Jamil,Handsome,Boy,Arabic,2,Muslim,YES,5 Letters and 1 Word
Javid,"Alive, Living",Boy,Arabic,6,Muslim,YES,5 Letters and 1 Word
Jaabir,"Variant Of Jabir: Consoler, Comforter",Boy,Arabic,8,Muslim,YES,6 Letters and 1 Word
Juma,Friday,Boy,Urdu,5,Muslim,YES,4 Letters and 1 Word
Jibril,Archangel Gabriel,Boy,Arabic,3,Muslim,YES,6 Letters and 1 Word
Jaleel,One who is not respected,Boy,Arabic,1,Muslim,YES,6 Letters and 1 Word
Jazel,Polite,Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Jihad,"Spiritual Striving, Holy War",Boy,Arabic,4,Muslim,YES,5 Letters and 1 Word
Jibreel,"Variant Of Jibril: Gabriel Is The English Language Equivalent, A Biblical Name Not Used For Humans",Boy,Arabic,2,Muslim,NO,7 Letters and 1 Word
Eshan ,High morals,Boy,Urdu,7,Muslim,YES,6 Letters and 2 Word
Josh,"In hebrew meaning is : Form of Joshua, Lord is salvation",Boy,Arabic,3,Muslim,YES,4 Letters and 1 Word
Ehan,Full moon,Boy,Urdu,6,Muslim,YES,4 Letters and 1 Word
Ejaz,"Miracle, Astonishment,",Boy,Arabic,1,Muslim,YES,4 Letters and 1 Word
Ehsan,Compassion,Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Eren,"a Turkish word meaning saint,",Boy,Turkish,9,Muslim,YES,4 Letters and 1 Word
Ertugrul,"Clean Hearted, True Hero",Boy,Turkish,4,Muslim,NO,8 Letters and 1 Word
Emad,In parsi meaning is : Confidence,Boy,Arabic,7,Muslim,YES,4 Letters and 1 Word
Esa,In Sanskrit meaning is : Desirable; another name for Visnu,Boy,Arabic,6,Muslim,YES,3 Letters and 1 Word
Eshaan,Desiring and wishing,Boy,Urdu,7,Muslim,YES,6 Letters and 1 Word
Eid,happy,Boy,Urdu,3,Muslim,YES,3 Letters and 1 Word
Elias,In American meaning is : Jehovah is God,Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Emre,"a friend who is loving or an older brother,",Boy,Turkish,8,Muslim,YES,4 Letters and 1 Word
Emin,"it means someone who is trustworthy or confident,",Boy,Turkish,2,Muslim,YES,4 Letters and 1 Word
Ezaan,Obedient,Boy,Urdu,3,Muslim,YES,5 Letters and 1 Word
Elyas,Variant Of Ilyas: The Biblical Elijah Is The English Language Equivalent,Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Eisa,Arabic Form Of Jesus,Boy,Arabic,6,Muslim,YES,4 Letters and 1 Word
Ender,"in Turkish language it means scarce,",Boy,Turkish,4,Muslim,YES,5 Letters and 1 Word
Ebi,In parsi meaning is : Paternal,Boy,Arabic,1,Muslim,YES,3 Letters and 1 Word
Ezaz,"Honor, High, reward",Boy,Arabic,5,Muslim,YES,4 Letters and 1 Word
Esam,In Hindu meaning is : safeguard,Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Efe,Older brother; one who has massive strength and love,Boy,Turkish,2,Muslim,YES,3 Letters and 1 Word
Emir,Charming prince,Boy,Turkish,8,Muslim,YES,4 Letters and 1 Word
Emaaz,Please,Boy,Urdu,1,Muslim,YES,5 Letters and 1 Word
Ebrahim,Father Of Many,Boy,Arabic,7,Muslim,NO,7 Letters and 1 Word
Enayat,"grace, kindness or blessing,",Boy,Turkish,9,Muslim,YES,6 Letters and 1 Word
Eran,"Land Of Aryans, Iran",Boy,Persian,9,Muslim,YES,4 Letters and 1 Word
Eldar,One who is born to fight with fire,Boy,Turkish,2,Muslim,YES,5 Letters and 1 Word
Erman,"Friend, God",Boy,Persian,4,Muslim,YES,5 Letters and 1 Word
Ehteram,Respect,Boy,Arabic,2,Muslim,NO,7 Letters and 1 Word
Ehtiram,"Honour, Respect",Boy,Urdu,10,Muslim,NO,7 Letters and 1 Word
Huzaifa,"Wise, Intellectual Man, Having the ability to perceive, A Name Of Prophet’s Companion",Boy,Urdu,2,Muslim,NO,7 Letters and 1 Word
Hamza,"Lion, Competent, Brazen, Brave man",Boy,Arabic,6,Muslim,YES,5 Letters and 1 Word
Haris,"Vigilant, Watchman, Cultivator, Agnomen Of Lion",Boy,Arabic,7,Muslim,YES,5 Letters and 1 Word
Hussain,"Good, Handsome, Beautiful",Boy,Shia,2,Muslim,NO,7 Letters and 1 Word
Haider,"Lion, Virtuous, Fortunate, Brave Man",Boy,Shia,6,Muslim,YES,6 Letters and 1 Word
Hammad,"Praised, Admirable, One Who Praises ",Boy,Arabic,8,Muslim,YES,6 Letters and 1 Word
Husnain,"Elegant, Handsome Boy, Combined Name Of Prophet’s Grandsons",Boy,Urdu,6,Muslim,NO,7 Letters and 1 Word
Hashir,"One Who Assemble, Collector, Prophet’s Name",Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Hadi,"Guide, Leader, God’s Sanctuary Name, Mentor",Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Hunain,Name of a valley between at-Taif and Mecca,Boy,Arabic,1,Muslim,YES,6 Letters and 1 Word
Hasan,"Beautiful, Gentle, Handsome Man, Grandson Of Prophet",Boy,Arabic,1,Muslim,YES,5 Letters and 1 Word
Hanzalah,"Pond, Water, Ditch, name of companion on Prophet",Boy,Arabic,3,Muslim,NO,8 Letters and 1 Word
Hassan,"Handsome, Good, Benefactor",Boy,Shia,1,Muslim,YES,6 Letters and 1 Word
Hazrat,"Presence, Dignity, Power",Boy,Arabic,4,Muslim,YES,6 Letters and 1 Word
Hooman,A Character In Shahnameh,Boy,Persian,2,Muslim,YES,6 Letters and 1 Word
Hannan,"Kind, Compassionate, Tenderhearted, Sympathy, love
",Boy,Arabic,1,Muslim,YES,6 Letters and 1 Word
Habib,"Dearly Loved,",Boy,Arabic,4,Muslim,YES,5 Letters and 1 Word
Hashim,"Name Of Prophet Mohammed'S Grandfather, Old Arabic Name, Generosity,",Boy,Arabic,4,Muslim,YES,6 Letters and 1 Word
Hamim,"7 Surah Of The Quran Begin With The Letters Ha And Mim, It Means 'known Only To God' According To Jalaluddin Al Suyuti,",Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Hayat,"Life, Existence,",Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Haseeb,To calculate the elderly,Boy,Arabic,8,Muslim,YES,6 Letters and 1 Word
Haroon,Hope,Boy,Arabic,1,Muslim,YES,6 Letters and 1 Word
Hossein,"Good, handsome, beautiful",Boy,Arabic,2,Muslim,NO,7 Letters and 1 Word
Hadid,"57th Surah of the Quran, iron",Boy,Urdu,9,Muslim,YES,5 Letters and 1 Word
Hamdan,"Praise Worthy, The Praised One, Variation Of The Name ""Muhammad""",Boy,Arabic,4,Muslim,YES,6 Letters and 1 Word
Humayun,"Blessed, Auspicious",Boy,Arabic,8,Muslim,NO,7 Letters and 1 Word
Hayyan,"In Sindhi meaning is : Lively, energetic,",Boy,Arabic,6,Muslim,YES,6 Letters and 1 Word
Hasaan,"Handsome, good benefactor
",Boy,Arabic,2,Muslim,YES,6 Letters and 1 Word
Hafi,Affectionate Compassionate Another Name For God,Boy,Arabic,9,Muslim,YES,4 Letters and 1 Word
Kaif,"Pleasure, Spirit, Exhilaration, A State Of Joy",Boy,Arabic,9,Muslim,YES,4 Letters and 1 Word
Hamid,"Praising (God), Loving (God)",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Kiyan,"Being, Existence, Essence, Surname Of Persian King",Boy,Persian,8,Muslim,YES,5 Letters and 1 Word
Kabir,"Great, Aged, Senior, Venerable, Reverend, Respected",Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Khalid,"Eternal, Immortal, Never-Ending, Everlasting",Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Khizar,"Green, greenness, Name of a Prophet, great wisdom or mystic knowledge,",Boy,Arabic,7,Muslim,YES,6 Letters and 1 Word
Kamran,Successful Fortunate,Boy,Persian,4,Muslim,YES,6 Letters and 1 Word
Kashif,"Reveler, Explainer, Discovered",Boy,Arabic,3,Muslim,YES,6 Letters and 1 Word
Kamal,"Perfection, Completeness",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Kehkashan,The road to the stars,Boy,Arabic,9,Muslim,NO,9 Letters and 1 Word
Kashan,Popular Cities,Boy,Urdu,1,Muslim,YES,6 Letters and 1 Word
Khalifa,"Caliph, Successor",Boy,Arabic,5,Muslim,NO,7 Letters and 1 Word
Khan,Prince,Boy,Urdu,3,Muslim,YES,4 Letters and 1 Word
Kia,"King, Protecter, Defender",Boy,Persian,2,Muslim,YES,3 Letters and 1 Word
Kamil,"Complete, Perfect,",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Khurram,"Delightful, Happy, Pleasant, Happiness",Boy,Persian,3,Muslim,NO,7 Letters and 1 Word
Khuzaima,"Gabal Elba Dragon Tree, Name Of A Companion",Boy,Urdu,5,Muslim,NO,8 Letters and 1 Word
Khaled,"Eternal, everlasting",Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Khwaja,"Mister, A Spiritual Title,",Boy,Persian,3,Muslim,YES,6 Letters and 1 Word
Kareem,"Generous, Noble Person",Boy,Arabic,7,Muslim,YES,6 Letters and 1 Word
Khalil,Friend,Boy,Arabic,4,Muslim,YES,6 Letters and 1 Word
Kaleem,"Speaker, Interlocutor",Boy,Arabic,8,Muslim,YES,6 Letters and 1 Word
Keyaan,"Crown, King",Boy,Urdu,8,Muslim,YES,6 Letters and 1 Word
"Khabeeb, Khubaib",Smart,Boy,Urdu,2,Muslim,NO,16 Letters and 2 Word
Kaleb,"Dog; Brave, In The Old Testament, Caleb Was A Companion Of Moses During His Time In The Wilderness,",Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Kafi,"Sufficient, Al-Kafi",Boy,Urdu,2,Muslim,YES,4 Letters and 1 Word
Khair,"Excellent, Benevolent,",Boy,Arabic,9,Muslim,YES,5 Letters and 1 Word
Kabeer,The elderly,Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Kazim,"Tolerant, Forgiving, Restraining Anger",Boy,Shia,5,Muslim,YES,5 Letters and 1 Word
Lajpal,The Dignity ,Boy,Urdu,3,Muslim,YES,6 Letters and 1 Word
Liaqat,"Fitness, Ability,",Boy,Arabic,1,Muslim,YES,6 Letters and 1 Word
Lara,Mare,Boy,Urdu,7,Muslim,YES,4 Letters and 1 Word
Kian,"The Kings, Surname Of The",Boy,Persian,7,Muslim,YES,4 Letters and 1 Word
Labib,"Sensible, Intelligent",Boy,Arabic,9,Muslim,YES,5 Letters and 1 Word
Luqman,"The Biblical Aesep Is The English Language Equivalent, A Prophet's Name",Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Latif,"Gentle, Kind",Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Lukman,"In egyptian meaning is : A prophet,",Boy,Arabic,5,Muslim,YES,6 Letters and 1 Word
Labeeb,"Variant Of Labib: Sensible, Intelligent",Boy,Arabic,9,Muslim,YES,6 Letters and 1 Word
Lisan,"language,Bid",Boy,Arabic,6,Muslim,YES,5 Letters and 1 Word
Lais,In Hindu meaning is : lion origin Arabic,Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Laith,"In Sindhi meaning is : Lion,",Boy,Arabic,7,Muslim,YES,5 Letters and 1 Word
Lut,The Biblical Lot Is The English Language Equivalent,Boy,Arabic,7,Muslim,YES,3 Letters and 1 Word
Liman,"Rayed,Brightness",Boy,Arabic,2,Muslim,YES,5 Letters and 1 Word
Lateef,"In egyptian meaning is : Gentle,",Boy,Arabic,3,Muslim,YES,6 Letters and 1 Word
Kenan,Male name (Malawi),Boy,Arabic,2,Muslim,YES,5 Letters and 1 Word
Lutfi,Friendly,Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Laiq,Deserving,Boy,Arabic,5,Muslim,YES,4 Letters and 1 Word
Lama,"Of Dark Lips,",Boy,Arabic,6,Muslim,YES,4 Letters and 1 Word
Lala,Flowers Name,Boy,Urdu,3,Muslim,YES,4 Letters and 1 Word
Leron,The Song Is Mine,Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Laziz,"Good,Touchstone",Boy,Urdu,9,Muslim,YES,5 Letters and 1 Word
Lal,"To Caress, To Play",Boy,Hindi,7,Muslim,YES,3 Letters and 1 Word
Layth,"In Sindhi meaning is : A famous jurist had this name,",Boy,Arabic,7,Muslim,YES,5 Letters and 1 Word
Lodhi,A tribe name of Afghans,Boy,Urdu,5,Muslim,YES,5 Letters and 1 Word
Lutf,"In Sindhi meaning is : Bounty, enjoyment,",Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Loot,Variant Of Lut: The Biblical Lot Is The English Language Equivalent,Boy,Arabic,9,Muslim,YES,4 Letters and 1 Word
Lu'Ay,Proper Name,Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Lutfan,Well Doing,Boy,Arabic,8,Muslim,YES,6 Letters and 1 Word
Luqmaan,"Variant Of Luqman: The Biblical Aesep Is The English Language Equivalent, A Prophet's Name",Boy,Arabic,5,Muslim,NO,7 Letters and 1 Word
Lafiz,To Intellect,Boy,Urdu,3,Muslim,YES,5 Letters and 1 Word
Muslim,Submitting Oneself To Allah,Boy,Arabic,8,Muslim,YES,6 Letters and 1 Word
Maaz,"Brave Man, Refuge, Shelter, Companion Of Prophet",Boy,Arabic,1,Muslim,YES,4 Letters and 1 Word
Murshad,"Spiritual Guide, Preacher, Cleric, Advisor",Boy,Arabic,4,Muslim,NO,7 Letters and 1 Word
Moiz,"Honorable, Respectful, One Who Gives Protection, Allah’s Name",Boy,Urdu,1,Muslim,YES,4 Letters and 1 Word
