Name,Meaning,Reference,Gender,Origin,Lucky #,Religion,Short Name,Name Length,Personalities
Amina,"Honest, Faithful, Mother Of The Prophet Muhammad,",,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Anahita,Goddess of wisdom and fertility,,Girl,Irani,7,Muslim,NO,7 Letters and 1 Word,
Gul Afshan,Scatter The Flowers And Gold,,Girl,Urdu,9,Muslim,NO,10 Letters and 2 Word,
Gul,The rose flower,,Girl,Irani,5,Muslim,YES,3 Letters and 1 Word,
Grace,Graceful,,Girl,Urdu,2,Muslim,YES,5 Letters and 1 Word,
Gulnar,In muslim meaning is : flower of pomegranate,,Girl,Arabic,4,Muslim,YES,6 Letters and 1 Word,
Ghazal,Gazelle,,Girl,Arabic,2,Muslim,YES,6 Letters and 1 Word,
Gulbadan,Flowers In The Body,,Girl,Urdu,7,Muslim,NO,8 Letters and 1 Word,
Goli,"Rose-colored, Rosy",,Girl,Persian,3,Muslim,YES,4 Letters and 1 Word,
Ghana,"Wealth, Profit, Gain",,Girl,Arabic,7,Muslim,YES,5 Letters and 1 Word,
Ghada,"Charming, Graceful Woman",,Girl,Arabic,1,Muslim,YES,5 Letters and 1 Word,
Gulab,"Rose, Flower,",,Girl,Urdu,8,Muslim,YES,5 Letters and 1 Word,
Gulistan,House of flowers,,Girl,Urdu,3,Muslim,NO,8 Letters and 1 Word,
Gulnaz,flowers SPARKLY ,,Girl,Persian,9,Muslim,YES,6 Letters and 1 Word,
Ghania,Singer,,Girl,Arabic,4,Muslim,YES,6 Letters and 1 Word,
Eshaal,"Paradise Flower, Fragrant Flower Of Heaven",,Girl,Urdu,5,Muslim,YES,6 Letters and 1 Word,
Ghalia,Overly,,Girl,Arabic,2,Muslim,YES,6 Letters and 1 Word,
Eliza,"Unique, Precious, My God Is An Oath, Joyful",,Girl,Urdu,9,Muslim,YES,5 Letters and 1 Word,
Eshal,"Name Of Flower In Heaven, To Kindle, To Enliven, To Excite, ",,Girl,Urdu,1,Muslim,YES,5 Letters and 1 Word,
Elma,"In german meaning is : God's protection;Will-helmet,",,Girl,Arabic,6,Muslim,YES,4 Letters and 1 Word,
Eman,Faith,,Girl,Arabic,3,Muslim,YES,4 Letters and 1 Word,
Emma,"Entire, All",,Girl,Urdu,5,Muslim,YES,4 Letters and 1 Word,
Esra,"it means more or quick,",,Girl,Turkish,2,Muslim,YES,4 Letters and 1 Word,Esra Bilgic
Elif,One with a slender body; original,,Girl,Turkish,4,Muslim,YES,4 Letters and 1 Word,
Ghazala,Spinner,,Girl,Arabic,8,Muslim,NO,7 Letters and 1 Word,
Haniya,"A Place To Rest, To Be Happy
",,Girl,Arabic,8,Muslim,YES,6 Letters and 1 Word,"Haniya Amir, Hania Aslam"
Hoorain,"Beatutiful Eyes, Fabulous Friend, Women Of Paradise",,Girl,Arabic,2,Muslim,NO,7 Letters and 1 Word,"Hoorain Taimoor, Hoorain Sabri"
Humaira,From the arabic name meaning reddish! Title name of Aisha RA one who strives to achieve her utmost best!,,Girl,Urdu,6,Muslim,NO,7 Letters and 1 Word,Humaira Channa
Hafsa,The Name Of The Holy Prophet's Wife,Wife of theProphet Muhammad (P.B.U.H),Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,"Hafsa Bint Umar, "
Hareem,"Sanctuary, Sanctum, Walls of House of Kabba",,Girl,Urdu,6,Muslim,YES,6 Letters and 1 Word,"Hareem Shah, Hareem Farooq"
Hiba,"Gift”, especially a gift and blessing from God",,Girl,Arabic,3,Muslim,YES,4 Letters and 1 Word,
Haram,"Gentlewoman, Aristocrat, Countess, Empress, Lady, Noble Woman",,Girl,Urdu,5,Muslim,YES,5 Letters and 1 Word,
Habiba,"Beloved, Sweetheart, Darling,",,Girl,Arabic,9,Muslim,YES,6 Letters and 1 Word,
Huda,"Right guidance, Correct Guidance, Guidance Towards Good",,Girl,Arabic,1,Muslim,YES,4 Letters and 1 Word,
Bushra,"Happy News Glad Tiding Good Omen,",,Girl,Arabic,8,Muslim,YES,6 Letters and 1 Word,
Bareera,"Pious, Virtual, Self-Righteous, Religious",,Girl,Urdu,3,Muslim,NO,7 Letters and 1 Word,
Batool,"Pure, Chaste, Virgin (Devoted To Allah)",,Girl,Arabic,6,Muslim,YES,6 Letters and 1 Word,
Bebe,Lady,,Girl,Arabic,6,Muslim,YES,4 Letters and 1 Word,
Benazir,"without like, peerless",,Girl,Sindhi,8,Muslim,NO,7 Letters and 1 Word,
Bilqis,"The Queen Of Sheba,",,Girl,Arabic,4,Muslim,YES,6 Letters and 1 Word,
Beenish,"Sight, Vision, Faculty Of Seeing, Intelligent, Clever",,Girl,Urdu,2,Muslim,NO,7 Letters and 1 Word,
Bibi,"Lady,",,Girl,Arabic,6,Muslim,YES,4 Letters and 1 Word,
Bisma,"Caregiver, Polite, Obedient, And Significant",,Girl,Urdu,8,Muslim,YES,5 Letters and 1 Word,
Giti,"World, Universe",,Girl,Persian,8,Muslim,YES,4 Letters and 1 Word,
Bano,"Lady Princess,",,Girl,Persian,5,Muslim,YES,4 Letters and 1 Word,
Ghazia,Successful Woman,,Girl,Urdu,6,Muslim,YES,6 Letters and 1 Word,
Gamze,A dimple on a person's face,,Girl,Turkish,5,Muslim,YES,5 Letters and 1 Word,
Ghina,"Melody, Song",,Girl,Arabic,7,Muslim,YES,5 Letters and 1 Word,
Gisou,"Women's Hair,ringlet,tress",,Girl,Persian,6,Muslim,YES,5 Letters and 1 Word,
Guadalupe,"River Of The Wolf, Wolf Valley",,Girl,Arabic,4,Muslim,NO,9 Letters and 1 Word,
Ghizlan,From gazzalle,,Girl,Urdu,8,Muslim,NO,7 Letters and 1 Word,
Geti,Fad,,Girl,Urdu,8,Muslim,YES,4 Letters and 1 Word,
Ghaniya,"Rich, wealthy, prosperous",,Girl,Urdu,6,Muslim,NO,7 Letters and 1 Word,
Ghuncha,"A bunch of flowers
",,Girl,Pashto,5,Muslim,NO,7 Letters and 1 Word,
Dua,"WORSHIP, PLEADED, Devotion",,Girl,Arabic,3,Muslim,YES,3 Letters and 1 Word,
Gulrukh,Flower Appearance,,Girl,Urdu,4,Muslim,NO,7 Letters and 1 Word,
Ganja,Concealed Underground,,Girl,Persian,6,Muslim,YES,5 Letters and 1 Word,
Gelareh,Eyes,,Girl,Persian,8,Muslim,NO,7 Letters and 1 Word,
Gabriella,An angel,,Girl,Urdu,1,Muslim,NO,9 Letters and 1 Word,
Dania,"God Is My Judge,",,Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,
Ghashia,The veil of the heart,,Girl,Arabic,2,Muslim,NO,7 Letters and 1 Word,
Daneen,Princess,,Girl,Urdu,7,Muslim,YES,6 Letters and 1 Word,
Dahlia,"In Scandinavian meaning is : Flower named for botanist A, Dahl,",,Girl,Arabic,9,Muslim,YES,6 Letters and 1 Word,
Darakhshan,Bright,,Girl,Persian,7,Muslim,NO,10 Letters and 1 Word,
Diya,In Hindu meaning is : Dazzling personality,,Girl,Arabic,6,Muslim,YES,4 Letters and 1 Word,
Dilara,Beloved,,Girl,Urdu,2,Muslim,YES,6 Letters and 1 Word,
Erina,Beautiful lady,,Girl,Urdu,8,Muslim,YES,5 Letters and 1 Word,
Elisha,"Nice, Excellent, To tie/bind firmly",,Girl,Urdu,6,Muslim,YES,6 Letters and 1 Word,
Elham,Inspiration,,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Doha,"Forenoon,",,Girl,Urdu,7,Muslim,YES,4 Letters and 1 Word,
Diba,Brocade,,Girl,Persian,8,Muslim,YES,4 Letters and 1 Word,
Erum,Paradise Shaddad,,Girl,Urdu,7,Muslim,YES,4 Letters and 1 Word,
Deena,"In Jewish meaning is : Jacob's daughter, Also means a judgement",,Girl,Arabic,2,Muslim,YES,5 Letters and 1 Word,
Duha,"Variant Of Duhr: Forenoon,",,Girl,Arabic,5,Muslim,YES,4 Letters and 1 Word,
Ezzah,"A person who gives the honour, respect",,Girl,Urdu,6,Muslim,YES,5 Letters and 1 Word,
Eira,"Snow,",,Girl,Urdu,9,Muslim,YES,4 Letters and 1 Word,
Emily,Flower,,Girl,Urdu,7,Muslim,YES,5 Letters and 1 Word,
Emira,"someone who is worhty or merit or a princess,",,Girl,Turkish,4,Muslim,YES,5 Letters and 1 Word,
Eiliyah,The beautiful one to grow in peace and love with God,,Girl,Urdu,3,Muslim,NO,7 Letters and 1 Word,
Emel,"it means desire,",,Girl,Turkish,9,Muslim,YES,4 Letters and 1 Word,
Eisha,Life and way of life,,Girl,Arabic,6,Muslim,YES,5 Letters and 1 Word,
Elnaz,CHARM OF THE TRIBE,,Girl,Persian,8,Muslim,YES,5 Letters and 1 Word,
Eiman,"Faith, Religion",,Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,
Eylül,The month September,,Girl,Turkish,9,Muslim,YES,5 Letters and 1 Word,
Eva,Life Beloved,,Girl,Urdu,9,Muslim,YES,3 Letters and 1 Word,
Esther,"Star, Myrtle Leaf",,Girl,Persian,2,Muslim,YES,6 Letters and 1 Word,
Humna,"Extremely Discerning, Wise, Wisdom, Intelligence",,Girl,Urdu,4,Muslim,YES,5 Letters and 1 Word,
Elnara,"People, country, nation",,Girl,Turkish,5,Muslim,YES,6 Letters and 1 Word,
Elijah,"Beautiful, sweet, smart",,Girl,Urdu,5,Muslim,YES,6 Letters and 1 Word,
Hania,"Happiness, Laughter, Joy and Delight",,Girl,Urdu,7,Muslim,YES,5 Letters and 1 Word,Hania Amir
Hira,The Name Of The Hill Where The Quran Was Revealed To The Prophet,,Girl,Urdu,2,Muslim,YES,4 Letters and 1 Word,
Hadiya,Guide to righteousness,,Girl,Arabic,6,Muslim,YES,6 Letters and 1 Word,
Hina,"Fragrance (Khushboo), Myrtle, Powder Myrtle Leaves, Mehndi",,Girl,Arabic,5,Muslim,YES,4 Letters and 1 Word,
Hamna,Purple or black grape (a fruit - berry),Female companions of Prophet Muhammad (P.B.U. H),Girl,Urdu,1,Muslim,YES,5 Letters and 1 Word,Hamnah bint Jahash
Hadia,Guide To Righteousness,,Girl,Arabic,7,Muslim,YES,5 Letters and 1 Word,
Heer,"Power, riches",,Girl,Urdu,8,Muslim,YES,4 Letters and 1 Word,
Hande,Turkish- A woman with a infectious smile,,Girl,Turkish,7,Muslim,YES,5 Letters and 1 Word,
Haya,"Decency, Shyness, Shame",,Girl,Arabic,3,Muslim,YES,4 Letters and 1 Word,
Hoor,Nymph,,Girl,Arabic,7,Muslim,YES,4 Letters and 1 Word,
Begum,"Princess, Lady,",,Girl,Arabic,9,Muslim,YES,5 Letters and 1 Word,
Bint,"Daughter, Girl,",,Girl,Arabic,2,Muslim,YES,4 Letters and 1 Word,
Badar,Full Moon,,Girl,Arabic,8,Muslim,YES,5 Letters and 1 Word,
Barkat,The Abundance Of Blessing,,Girl,Arabic,8,Muslim,YES,6 Letters and 1 Word,
Hiya,Shyness,,Girl,Arabic,1,Muslim,YES,4 Letters and 1 Word,
Bulbul,"The Nightingale,",,Girl,Arabic,1,Muslim,YES,6 Letters and 1 Word,
Bahar,Season of spring,,Girl,Irani,1,Muslim,YES,5 Letters and 1 Word,
Bismah,Politely,,Girl,Urdu,8,Muslim,YES,6 Letters and 1 Word,
Bismillah,"Beginning, Commencement",,Girl,Arabic,2,Muslim,NO,9 Letters and 1 Word,
Betul,"Variant Of Batul: Ascetic Virgin, Maiden,",,Girl,Arabic,6,Muslim,YES,5 Letters and 1 Word,
Bilqees,"Variant Of Bilqis: The Queen Of Sheba,",,Girl,Arabic,4,Muslim,NO,7 Letters and 1 Word,
Basma,A Smile,,Girl,Arabic,9,Muslim,YES,5 Letters and 1 Word,
Fatima,"To Abstain, Chaste, Captivating",Daughter of Prophet Muhammad (P.B.U.H),Girl,Arabic,9,Muslim,YES,6 Letters and 1 Word,"Fatima Zehra (R.A), Fatima Jinnah, Fatima Bhutto"
Batul,"Virgin,",,Girl,Arabic,6,Muslim,YES,5 Letters and 1 Word,
Banu,Lady-like,,Girl,Irani,8,Muslim,YES,4 Letters and 1 Word,
Fiza,"Wide, Open, Open Hearted, Enlarger, Improver, Who Expands, Magnifier",,Girl,Arabic,2,Muslim,YES,4 Letters and 1 Word,Fiza Ali
Bani,"Builder, Founder, Creator",,Girl,Punjabi,9,Muslim,YES,4 Letters and 1 Word,
Bakhtawar,Lucky,,Girl,Balochi,3,Muslim,NO,9 Letters and 1 Word,
Beena,"Seeing, Clear Sighted,",,Girl,Persian,9,Muslim,YES,5 Letters and 1 Word,
Faiza,"Successful One, Winner, Victorious, Triumphant ",,Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,Faiza saleem
Fabeha,"Gifted, Fortunate, Lucky",,Girl,Urdu,8,Muslim,YES,6 Letters and 1 Word,
Farheen,"Happy, Joyous, Jubilant, A Lady Of Wisdom",,Girl,Arabic,3,Muslim,NO,7 Letters and 1 Word,
Farzana,"Intelligent, Wise,",,Girl,Persian,1,Muslim,NO,7 Letters and 1 Word,
Faria,Prosperous woman,,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Farah,"Lovely, Pleasant Or Beauty Good Looking, Beautiful",,Girl,Arabic,9,Muslim,YES,5 Letters and 1 Word,
Fareeha,Happy Joyful,,Girl,Arabic,6,Muslim,NO,7 Letters and 1 Word,
Firdous,"In Sindhi meaning is : Garden,",,Girl,Arabic,8,Muslim,NO,7 Letters and 1 Word,
Faryal,"Angle, Spirit, Soul, Saint, Gem",,Girl,Arabic,6,Muslim,YES,6 Letters and 1 Word,
Daima,Everlasting,,Girl,Urdu,5,Muslim,YES,5 Letters and 1 Word,
Dunia,The world,,Girl,Urdu,7,Muslim,YES,5 Letters and 1 Word,
Dami,"Creator, Wisdom",,Girl,Persian,9,Muslim,YES,4 Letters and 1 Word,
Daena,Divine Knowledge,,Girl,Persian,6,Muslim,YES,5 Letters and 1 Word,
Dina,"Dinah, Also Means Judge",,Girl,Persian,6,Muslim,YES,4 Letters and 1 Word,
Dilshad,"Happy, Glad, Cheerful",,Girl,Punjabi,6,Muslim,NO,7 Letters and 1 Word,
Dariya,learned,,Girl,Urdu,2,Muslim,YES,6 Letters and 1 Word,
Daliya,In Sindhi meaning is : Dahlia,,Girl,Arabic,4,Muslim,YES,6 Letters and 1 Word,
Dasia,Daisy Flower; D + Asia,,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Emine,"it means one who is fearless and courageous,",,Girl,Turkish,2,Muslim,YES,5 Letters and 1 Word,
Dunya,"World, Worldly Life, That Which Is Close",,Girl,Urdu,7,Muslim,YES,5 Letters and 1 Word,
Dilkash,"Attractive, captivating,",,Girl,Urdu,6,Muslim,NO,7 Letters and 1 Word,
Dahab,"Gold,",,Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,
Emami,Happiness,,Girl,Urdu,2,Muslim,YES,5 Letters and 1 Word,
Eleonora,"In italian meaning is : Shining light, Variant of Helen,",,Girl,Arabic,4,Muslim,NO,8 Letters and 1 Word,
Elmira,Aristrocratic Lady,,Girl,Arabic,3,Muslim,YES,6 Letters and 1 Word,
Chandni,Moonlight,,Girl,Arabic,1,Muslim,NO,7 Letters and 1 Word,
Hayat,Life,,Girl,Balochi,5,Muslim,YES,5 Letters and 1 Word,
Halima,"Gentle, Kind (Swahili origin )",,Girl,Arabic,3,Muslim,YES,6 Letters and 1 Word,
Husna,"Beautiful, A Belle,",,Girl,Arabic,6,Muslim,YES,5 Letters and 1 Word,
Haifa,"Slender, Well-shaped",,Girl,Arabic,2,Muslim,YES,5 Letters and 1 Word,
Hajra ,To Emigrate,,Girl,Urdu,1,Muslim,YES,6 Letters and 2 Word,
Huma,Daughter Of King Bahman And Mother Of Darab,,Girl,Arabic,1,Muslim,YES,4 Letters and 1 Word,
Heena,"Variant Of Hina: Henna, Myrtle,",,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Hana',"Happiness, Bliss, Felicity,",,Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,
Haleema,"Variant Of Halima: Gentle, Patient, Mild, Humane,",,Girl,Arabic,3,Muslim,NO,7 Letters and 1 Word,
Bareerah,"Pious, The freed slave of Sayyidina Ayshah RA a well-known women companion, she lived upto the times of Khalifah Yazid bin Muawiyah RA",,Girl,Urdu,6,Muslim,NO,8 Letters and 1 Word,
Bayan,"Clearness, eloquence",,Girl,Urdu,9,Muslim,YES,5 Letters and 1 Word,
Fauzia,"Triumphant, Successful,",,Girl,Arabic,9,Muslim,YES,6 Letters and 1 Word,
Bakra,Virgin girl,,Girl,Urdu,1,Muslim,YES,5 Letters and 1 Word,
Farhana,"Happy, Joyful, Cheerful,",,Girl,Arabic,2,Muslim,NO,7 Letters and 1 Word,
Falak,"The Sky, Orbit, Space, Cosmos",,Girl,Arabic,2,Muslim,YES,5 Letters and 1 Word,
Farwa,"Crown”, “Wealth”",,Girl,Shia,7,Muslim,YES,5 Letters and 1 Word,
Begani,Non-friendly,,Girl,Urdu,3,Muslim,YES,6 Letters and 1 Word,
Fatimah,"To Abstain, Chaste, Captivating",,Girl,Arabic,4,Muslim,NO,7 Letters and 1 Word,
Farida,Unique,,Girl,Arabic,2,Muslim,YES,6 Letters and 1 Word,
Fatiha,Wins of hearts with,,Girl,Arabic,8,Muslim,YES,6 Letters and 1 Word,
Falaq,"Daybreak, Dawn",,Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,
Fizza,In Muslim meaning is : Nature,,Girl,Arabic,7,Muslim,YES,5 Letters and 1 Word,
Donya,World,,Girl,Persian,2,Muslim,YES,5 Letters and 1 Word,
Filza,Rose From Heaven,,Girl,Arabic,1,Muslim,YES,5 Letters and 1 Word,
Daina,A Variant Of Daniel,,Girl,Arabic,6,Muslim,YES,5 Letters and 1 Word,
Dima,"An incessant gentle rain unaccompanied by wind, thunder, or lightning,",,Girl,Urdu,9,Muslim,YES,4 Letters and 1 Word,
Dalia,In hawaiian meaning is : a branch; to draw water,,Girl,Arabic,4,Muslim,YES,5 Letters and 1 Word,
Dhuha,In Muslim meaning is : Forenoon,,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Caitlyn,Pure beauty,,Girl,Urdu,1,Muslim,NO,7 Letters and 1 Word,
Darya,Sea,,Girl,Persian,8,Muslim,YES,5 Letters and 1 Word,
Dujanah,Rain,,Girl,Sindhi,4,Muslim,NO,7 Letters and 1 Word,
Chanda,Bright Or Fierce,,Girl,Hindi,4,Muslim,YES,6 Letters and 1 Word,
Cyra,Sun Or Throne,,Girl,Persian,4,Muslim,YES,4 Letters and 1 Word,
Chanchal,Active,,Girl,Urdu,5,Muslim,NO,8 Letters and 1 Word,
Camilla,In American meaning is : Young ceremonial attendant,,Girl,Arabic,4,Muslim,NO,7 Letters and 1 Word,
Chand,Moon,,Girl,Urdu,4,Muslim,YES,5 Letters and 1 Word,
Chashni,Sweet Thing,,Girl,Urdu,4,Muslim,NO,7 Letters and 1 Word,
Caliana,"A Moorish Princess For Whom A Splendid Palace Was Built In Spain,",,Girl,Arabic,6,Muslim,NO,7 Letters and 1 Word,
Champa,A Flower,,Girl,Hindi,1,Muslim,YES,6 Letters and 1 Word,
Carmen,In hawaiian meaning is : garden; field of fruit; song,,Girl,Arabic,3,Muslim,YES,6 Letters and 1 Word,
Feeha,Flower of Jannah,,Girl,Arabic,1,Muslim,YES,5 Letters and 1 Word,
Fahmida,Intelligent and Wise,,Girl,Urdu,6,Muslim,NO,7 Letters and 1 Word,
Chadia,gracious,,Girl,Urdu,9,Muslim,YES,6 Letters and 1 Word,
Ceylan,An Antelope,,Girl,Turkish,7,Muslim,YES,6 Letters and 1 Word,
Ceyda,A beautiful woman,,Girl,Turkish,3,Muslim,YES,5 Letters and 1 Word,
Freya,Beloved,,Girl,Arabic,7,Muslim,YES,5 Letters and 1 Word,
Fahima,"Learned, understands( swahili origin )",,Girl,Arabic,1,Muslim,YES,6 Letters and 1 Word,
Farishta,"Angel,",,Girl,Urdu,8,Muslim,NO,8 Letters and 1 Word,
Fana,"Wealth, Honour",,Girl,Arabic,5,Muslim,YES,4 Letters and 1 Word,
Inaya,"Help, care, protection",,Girl,Arabic,6,Muslim,YES,5 Letters and 1 Word,
Isha,"Life, way of life, woman, She who lives",,Girl,Arabic,2,Muslim,YES,4 Letters and 1 Word,
Iqra,"First word of the Quran, To read, To recite",,Girl,Urdu,5,Muslim,YES,4 Letters and 1 Word,
Iram,"A Garden In Heaven, Paradise, Landmark In The Desert",,Girl,Urdu,7,Muslim,YES,4 Letters and 1 Word,
Fatima Zahra,"One Who Abstains, Baby's Nurse, White, Radiant",,Girl,Arabic,3,Muslim,NO,12 Letters and 2 Word,
Faiqa,Genius,,Girl,Arabic,6,Muslim,YES,5 Letters and 1 Word,
Fajr,"Dawn, morning prayer",,Girl,Urdu,5,Muslim,YES,4 Letters and 1 Word,
Ifra,"Significantly, Expert",,Girl,Persian,2,Muslim,YES,4 Letters and 1 Word,
Insiya,Someone Who Remembers,,Girl,Urdu,2,Muslim,YES,6 Letters and 1 Word,
Izzah,Power,,Girl,Arabic,1,Muslim,YES,5 Letters and 1 Word,
Inayah,"In Sindhi meaning is : Concern,",,Girl,Arabic,1,Muslim,YES,6 Letters and 1 Word,
Ilham,"Intuition, Inspiration,",,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Imaan,"Variant Of Iman: Faith, Belief,",,Girl,Arabic,3,Muslim,YES,5 Letters and 1 Word,
Chandra,Beautiful As The Moon,,Girl,Urdu,6,Muslim,NO,7 Letters and 1 Word,
Cala,"Castle,fortress",,Girl,Arabic,5,Muslim,YES,4 Letters and 1 Word,
Chana,"Gracious, Merciful",,Girl,Turkish,9,Muslim,YES,5 Letters and 1 Word,
Cailey,"Beloved,",,Girl,Arabic,5,Muslim,YES,6 Letters and 1 Word,
Chandi,"A precious metal, white wrapper",,Girl,Persian,5,Muslim,YES,6 Letters and 1 Word,
Caria,She who flows like a water,,Girl,Turkish,9,Muslim,YES,5 Letters and 1 Word,
Chessy,At Peace,,Girl,Hindi,2,Muslim,YES,6 Letters and 1 Word,
Chand bibi,A woman like the moon,,Girl,Urdu,1,Muslim,NO,10 Letters and 2 Word,
Chaand,"Variant Of Chand: The Moon,",,Girl,Arabic,4,Muslim,YES,6 Letters and 1 Word,
Chafia,look after,,Girl,Urdu,4,Muslim,YES,6 Letters and 1 Word,
Cemal,"Beauty,",,Girl,Arabic,7,Muslim,YES,5 Letters and 1 Word,
Cailie,"Beloved,",,Girl,Arabic,5,Muslim,YES,6 Letters and 1 Word,
Calah,"In biblical meaning is : Favorable, opportunity, Non-gerderized Biblical name,",,Girl,Arabic,8,Muslim,YES,5 Letters and 1 Word,
Chaman ara,The Beauty Of The Garden,,Girl,Urdu,6,Muslim,NO,10 Letters and 2 Word,
Chahr Zad,Most Beautiful,,Girl,Urdu,4,Muslim,NO,9 Letters and 2 Word,
Irsa,Rainbow,,Girl,Arabic,1,Muslim,YES,4 Letters and 1 Word,
Ishrat,"Enjoyment, Gaiety",,Girl,Arabic,7,Muslim,YES,6 Letters and 1 Word,
Cariman,Merciful And Gracious Woman,,Girl,Urdu,4,Muslim,NO,7 Letters and 1 Word,
Irha,God Gifted,,Girl,Arabic,3,Muslim,YES,4 Letters and 1 Word,
Iran,Iran,,Girl,Persian,1,Muslim,YES,4 Letters and 1 Word,
Ifa,"Keeping Faith, Satisfying",,Girl,Arabic,7,Muslim,YES,3 Letters and 1 Word,
Israa,Variant transcription of ISRA,,Girl,Urdu,9,Muslim,YES,5 Letters and 1 Word,
Ishana,In Hindu meaning is : Goddess Durga; the female energy,,Girl,Arabic,7,Muslim,YES,6 Letters and 1 Word,
Ikram,"Honour, Hospitality, Generosity",,Girl,Urdu,9,Muslim,YES,5 Letters and 1 Word,
Ifrah,"Happy, Farhat Religion",,Girl,Urdu,2,Muslim,YES,5 Letters and 1 Word,
Imani,"Faith, Belief",,Girl,Arabic,4,Muslim,YES,5 Letters and 1 Word,
